,Journal Name,ISSN,EISSN,IF,Best Quartile,Quartiles,Eigen Factor,MIF,journal,acceptanceRate,timeToFirstDecision,publicationTime,subjectAreas,aut_valid,Rev1,AR,Time to first decision,Review time,Submission to acceptance,Acceptance to publication,Acceptance Rate
138,AMERICAN SOCIOLOGICAL REVIEW,0003-1224,1939-8271,9.1,Q1,SOCIOLOGY - SSCI (Q1),0.01619,2.1,,,,,,,,,,,,,
139,AMERICAN SPEECH,0003-1283,1527-2133,0.5,Q4,LINGUISTICS - SSCI (Q4),0.00029,1.2,,,,,,,,,,,,,
140,AMERICAS,0003-1615,1533-6247,0.4,Q3,HISTORY - SSCI (Q3),0.00056,0.6,,,,,,,,,,,,,
141,Amfiteatru Economic,1582-9146,2247-9104,2.6,Q2,BUSINESS - SSCI (Q4); ECONOMICS - SSCI (Q2); MANAGEMENT - SSCI (Q4),0.00068,3.9,,,,,,,,,,,,,
142,Anales de Psicologia,0212-9728,1695-2294,1.7,Q3,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q3)",0.00123,2.4,,,,,,,,,,,,,
143,Anales del Sistema Sanitario De Navarra,1137-6627,2340-3527,1.0,Q4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q4)",0.00022,3.05,,,,,,,,,,,,,
144,Analyses of Social Issues and Public Policy,1529-7489,1530-2415,1.5,Q3,"PSYCHOLOGY, SOCIAL - SSCI (Q4); SOCIAL ISSUES - SSCI (Q3)",0.00078,2.5,,,,,,,,,,,,,
145,Analytic Methods in Accident Research,2213-6657,2213-6665,12.9,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q1); TRANSPORTATION - SSCI (Q1)",0.00293,3.57,Analytic Methods in Accident Research,14.29,1.0,2.9,"['Transportation', 'Safety Research']",True,7,14,1 day,122,132,9,
146,Andamios,1870-0063,2594-1917,0.2,Q4,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q4)",0.00032,1.9,,,,,,,,,,,,,
147,ANNALS OF BEHAVIORAL MEDICINE,0883-6612,1532-4796,3.8,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q1)",0.00792,2.4,,,,,,,,,,,,,
148,Annals of Clinical Psychiatry,1040-1237,1547-3325,1.3,Q4,PSYCHIATRY - SSCI (Q4),0.00082,3.35,,,,,,,,,,,,,
149,ANNALS OF DYSLEXIA,0736-9387,1934-7243,2.3,Q2,"EDUCATION, SPECIAL - SSCI (Q2); REHABILITATION - SSCI (Q2)",0.00084,1.98,,,,,,,,,,,,,
150,Annals of Economics and Finance,1529-7373,1529-7373,0.4,Q4,ECONOMICS - SSCI (Q4),0.00013,2.1,,,,,,,,,,,,,
151,Annals of General Psychiatry,,1744-859X,3.7,Q2,PSYCHIATRY - SSCI (Q2),0.0021,3.35,,,,,,,,,,,,,
152,ANNALS OF HUMAN BIOLOGY,0301-4460,1464-5033,1.7,Q2,"ANTHROPOLOGY - SSCI (Q2); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q4)",0.00139,2.13,,,,,,,,,,,,,
153,Annals of Public and Cooperative Economics,1370-4788,1467-8292,1.6,Q3,ECONOMICS - SSCI (Q3),0.00079,2.1,,,,,,,,,,,,,
154,ANNALS OF REGIONAL SCIENCE,0570-1864,1432-0592,1.7,Q3,ECONOMICS - SSCI (Q3); ENVIRONMENTAL STUDIES - SSCI (Q4); GEOGRAPHY - SSCI (Q4); REGIONAL & URBAN PLANNING - SSCI (Q4),0.00169,2.7,,,,,,,,,,,,,
155,ANNALS OF SCIENCE,0003-3790,1464-505X,0.3,Q4,HISTORY & PHILOSOPHY OF SCIENCE - SSCI (Q4),0.00017,0.75,,,,,,,,,,,,,
156,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,0002-7162,1552-3349,2.8,Q2,"POLITICAL SCIENCE - SSCI (Q2); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q2)",0.00677,1.9,,,,,,,,,,,,,
157,Annals of the American Association of Geographers,2469-4452,2469-4460,3.9,Q1,GEOGRAPHY - SSCI (Q1),0.00929,2.4,,,,,,,,,,,,,
158,ANNALS OF TOURISM RESEARCH,0160-7383,1873-7722,13.2,Q1,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI (Q1); SOCIOLOGY - SSCI (Q1)",0.01185,2.85,Annals of Tourism Research,9.01,2.5,5.8,"['Business and International Management', 'Development', 'Tourism, Leisure and Hospitality Management', 'Marketing']",True,17,9,5,97,234,17,9
159,ANNEE PSYCHOLOGIQUE,0003-5033,1955-2580,2.0,Q3,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q3)",0.00037,2.4,,,,,,,,,,,,,
160,Annual Review of Anthropology,0084-6570,1545-4290,2.8,Q1,ANTHROPOLOGY - SSCI (Q1),0.00284,1.2,,,,,,,,,,,,,
161,Annual Review of Applied Linguistics,0267-1905,1471-6356,3.7,Q1,LINGUISTICS - SSCI (Q1),0.00072,1.2,,,,,,,,,,,,,
162,Annual Review of Clinical Psychology,1548-5943,1548-5951,18.4,Q1,"PSYCHOLOGY, CLINICAL - SSCI (Q1)",0.00819,2.8,,,,,,,,,,,,,
163,Annual Review of Criminology,2572-4568,2572-4568,6.9,Q1,CRIMINOLOGY & PENOLOGY - SSCI (Q1),0.00322,1.8,,,,,,,,,,,,,
164,Annual Review of Economics,1941-1383,1941-1391,5.6,Q1,ECONOMICS - SSCI (Q1),0.01157,2.1,,,,,,,,,,,,,
165,Annual Review of Environment and Resources,1543-5938,1545-2050,16.4,Q1,ENVIRONMENTAL STUDIES - SSCI (Q1),0.00504,3.2,,,,,,,,,,,,,
166,Annual Review of Financial Economics,1941-1367,1941-1375,3.2,Q2,"BUSINESS, FINANCE - SSCI (Q2); ECONOMICS - SSCI (Q2)",0.00313,2.45,,,,,,,,,,,,,
167,Annual Review of Law and Social Science,1550-3585,1550-3631,2.4,Q1,LAW - SSCI (Q1); SOCIOLOGY - SSCI (Q2),0.00236,1.7,,,,,,,,,,,,,
168,Annual Review of Linguistics,2333-9691,2333-9691,3.2,Q1,LINGUISTICS - SSCI (Q1),0.00224,1.2,,,,,,,,,,,,,
169,Annual Review of Organizational Psychology and Organizational Behavior,2327-0608,2327-0616,13.7,Q1,"MANAGEMENT - SSCI (Q1); PSYCHOLOGY, APPLIED - SSCI (Q1)",0.00748,4.0,,,,,,,,,,,,,
170,Annual Review of Political Science,1094-2939,1545-1577,10.8,Q1,POLITICAL SCIENCE - SSCI (Q1),0.01117,1.9,,,,,,,,,,,,,
171,Annual Review of Psychology,0066-4308,1545-2085,24.8,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q1)",0.01326,2.4,,,,,,,,,,,,,
172,Annual Review of Public Health,0163-7525,1545-2093,20.8,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q1)",0.01248,3.05,,,,,,,,,,,,,
173,Annual Review of Resource Economics,1941-1340,1941-1359,5.8,Q1,ECONOMICS - SSCI (Q1); ENVIRONMENTAL STUDIES - SSCI (Q1),0.00349,2.65,,,,,,,,,,,,,
174,Annual Review of Sociology,0360-0572,1545-2115,10.5,Q1,SOCIOLOGY - SSCI (Q1),0.00867,2.1,,,,,,,,,,,,,
175,Anthropocene Review,2053-0196,2053-020X,2.8,Q3,ENVIRONMENTAL STUDIES - SSCI (Q3),0.00113,3.2,,,,,,,,,,,,,
176,Anthropological Forum,0066-4677,1469-2902,1.0,Q3,ANTHROPOLOGY - SSCI (Q3),0.00028,1.2,,,,,,,,,,,,,
177,Anthropological Notebooks,1408-032X,,0.4,Q4,ANTHROPOLOGY - SSCI (Q4),0.0001,1.2,,,,,,,,,,,,,
178,ANTHROPOLOGICAL QUARTERLY,0003-5491,1534-1518,0.9,Q3,ANTHROPOLOGY - SSCI (Q3),0.001,1.2,,,,,,,,,,,,,
179,Anthropological Theory,1463-4996,1741-2641,1.7,Q2,ANTHROPOLOGY - SSCI (Q2),0.00172,1.2,,,,,,,,,,,,,
180,ANTHROPOLOGIE,0003-5521,1873-5827,0.5,Q4,ANTHROPOLOGY - SSCI (Q4),0.0005,1.2,Anthropologie,81.25,12.8,14.5,"['Anthropology', 'History and Philosophy of Science']",True,89,81,,,39,,81%
181,ANTHROPOLOGISCHER ANZEIGER,0003-5548,0003-5548,0.5,Q4,ANTHROPOLOGY - SSCI (Q4),0.00018,1.2,,,,,,,,,,,,,
182,ANTHROPOLOGY & EDUCATION QUARTERLY,0161-7761,1548-1492,1.3,Q2,ANTHROPOLOGY - SSCI (Q2); EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q4),0.0009,1.8,,,,,,,,,,,,,
183,Anthropology & Medicine,1364-8470,1469-2910,1.8,Q2,"ANTHROPOLOGY - SSCI (Q2); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q4); SOCIAL SCIENCES, BIOMEDICAL - SSCI (Q3)",0.0008,2.15,,,,,,,,,,,,,
184,Anthropology Southern Africa,2332-3256,2332-3264,0.6,Q3,ANTHROPOLOGY - SSCI (Q3),0.00026,1.2,,,,,,,,,,,,,
185,ANTHROPOS,0257-9774,,0.1,Q4,ANTHROPOLOGY - SSCI (Q4),4e-05,1.2,,,,,,,,,,,,,
186,ANTHROPOZOOLOGICA,0761-3032,2107-0881,0.3,Q4,ANTHROPOLOGY - SSCI (Q4),0.00027,1.2,,,,,,,,,,,,,
187,ANTHROZOOS,0892-7936,1753-0377,1.6,Q3,SOCIOLOGY - SSCI (Q3),0.00097,2.1,,,,,,,,,,,,,
188,ANTIPODE,0066-4812,1467-8330,5.0,Q1,GEOGRAPHY - SSCI (Q1),0.00927,2.4,,,,,,,,,,,,,
189,ANTIQUITY,0003-598X,1745-1744,1.8,Q2,ANTHROPOLOGY - SSCI (Q2),0.0052,1.2,,,,,,,,,,,,,
190,Anuario De Psicologia Juridica,1133-0740,2174-0542,0.9,Q3,"LAW - SSCI (Q3); PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q4)",0.00016,1.85,,,,,,,,,,,,,
191,ANXIETY STRESS AND COPING,1061-5806,1477-2205,3.7,Q2,"PSYCHIATRY - SSCI (Q2); PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q2)",0.003,2.88,,,,,,,,,,,,,
192,AORN JOURNAL,0001-2092,1878-0369,0.9,Q4,NURSING - SSCI (Q4),0.0008,2.0,,,,,,,,,,,,,
193,APHASIOLOGY,0268-7038,1464-5041,2.0,Q2,LINGUISTICS - SSCI (Q2); REHABILITATION - SSCI (Q2),0.00223,1.57,,,,,,,,,,,,,
194,APPLIED COGNITIVE PSYCHOLOGY,0888-4080,1099-0720,2.4,Q2,"PSYCHOLOGY, EXPERIMENTAL - SSCI (Q2)",0.00387,2.4,,,,,,,,,,,,,
195,Applied Developmental Science,1088-8691,1532-480X,3.8,Q1,"PSYCHOLOGY, DEVELOPMENTAL - SSCI (Q1)",0.00172,2.6,,,,,,,,,,,,,
196,Applied Economic Analysis,,2632-7627,2.3,Q2,ECONOMICS - SSCI (Q2),0.00016,2.1,,,,,,,,,,,,,
197,Applied Economic Perspectives and Policy,2040-5790,2040-5804,5.8,Q1,ECONOMICS - SSCI (Q1),0.00351,2.1,,,,,,,,,,,,,
198,APPLIED ECONOMICS,0003-6846,1466-4283,2.2,Q2,ECONOMICS - SSCI (Q2),0.00935,2.1,,,,,,,,,,,,,
199,APPLIED ECONOMICS LETTERS,1350-4851,1466-4291,1.6,Q3,ECONOMICS - SSCI (Q3),0.0053,2.1,,,,,,,,,,,,,
200,APPLIED ERGONOMICS,0003-6870,1872-9126,3.2,Q2,"ERGONOMICS - SSCI (Q2); PSYCHOLOGY, APPLIED - SSCI (Q2)",0.00839,3.2,Applied Ergonomics,17.98,3.8,2.4,"['Human Factors and Ergonomics', 'Physical Therapy, Sports Therapy and Rehabilitation', 'Safety, Risk, Reliability and Quality', 'Engineering miscellaneous']",True,26,17,5,146,167,14,
201,APPLIED GEOGRAPHY,0143-6228,1873-7730,4.9,Q1,GEOGRAPHY - SSCI (Q1),0.00728,2.4,Applied Geography,9.65,10.0,2.1,"['Forestry', 'Geography, Planning and Development', 'Environmental Science all', 'Tourism, Leisure and Hospitality Management']",True,70,9,,,281,12,
202,Applied Health Economics and Health Policy,1175-5652,1179-1896,3.6,Q2,ECONOMICS - SSCI (Q2); HEALTH POLICY & SERVICES - SSCI (Q2),0.00364,2.45,,,,,,,,,,,,,
203,APPLIED LINGUISTICS,0142-6001,1477-450X,3.6,Q1,LINGUISTICS - SSCI (Q1),0.00444,1.2,,,,,,,,,,,,,
204,Applied Linguistics Review,1868-6303,1868-6311,2.6,Q1,LINGUISTICS - SSCI (Q1),0.00151,1.2,,,,,,,,,,,,,
205,APPLIED MEASUREMENT IN EDUCATION,0895-7347,1532-4818,1.5,Q4,"EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q4); PSYCHOLOGY, EDUCATIONAL - SSCI (Q4); PSYCHOLOGY, MATHEMATICAL - SSCI (Q4)",0.00101,2.47,,,,,,,,,,,,,
206,APPLIED NURSING RESEARCH,0897-1897,1532-8201,2.2,Q2,NURSING - SSCI (Q2),0.00257,2.0,Applied Nursing Research,7.79,6.9,12.4,['Nursing all'],True,48,7,,155,190,6,
207,APPLIED PSYCHOLINGUISTICS,0142-7164,1469-1817,2.1,Q1,"LINGUISTICS - SSCI (Q1); PSYCHOLOGY, EXPERIMENTAL - SSCI (Q3)",0.002,1.8,,,,,,,,,,,,,
208,APPLIED PSYCHOLOGICAL MEASUREMENT,0146-6216,1552-3497,1.2,Q4,"PSYCHOLOGY, MATHEMATICAL - SSCI (Q4); SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI (Q4)",0.00219,2.1,,,,,,,,,,,,,
209,APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,0269-994X,1464-0597,7.2,Q1,"PSYCHOLOGY, APPLIED - SSCI (Q1)",0.00408,3.2,,,,,,,,,,,,,
210,Applied Psychology-Health and Well Being,1758-0846,1758-0854,6.9,Q1,"PSYCHOLOGY, APPLIED - SSCI (Q1)",0.00329,3.2,,,,,,,,,,,,,
211,APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK,1090-0586,1573-3270,3.0,Q2,"PSYCHOLOGY, CLINICAL - SSCI (Q2)",0.00097,2.8,,,,,,,,,,,,,
212,Applied Research in Quality of Life,1871-2584,1871-2576,3.4,Q1,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q1)",0.00288,1.9,,,,,,,,,,,,,
213,Applied Spatial Analysis and Policy,1874-463X,1874-4621,1.9,Q3,ENVIRONMENTAL STUDIES - SSCI (Q4); GEOGRAPHY - SSCI (Q3); REGIONAL & URBAN PLANNING - SSCI (Q4),0.00076,2.9,,,,,,,,,,,,,
214,Archaeological and Anthropological Sciences,1866-9557,1866-9565,2.2,Q1,ANTHROPOLOGY - SSCI (Q1),0.00743,1.2,,,,,,,,,,,,,
215,ARCHAEOLOGY IN OCEANIA,0728-4896,1834-4453,0.9,Q3,ANTHROPOLOGY - SSCI (Q3),0.00031,1.2,,,,,,,,,,,,,
216,Archive for the Psychology of Religion-Archiv fur Religionspsychologie,0084-6724,1573-6121,1.3,Q4,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q4)",0.00032,2.4,,,,,,,,,,,,,
217,ARCHIVES EUROPEENNES DE SOCIOLOGIE,0003-9756,1474-0583,1.4,Q3,SOCIOLOGY - SSCI (Q3),0.00059,2.1,,,,,,,,,,,,,
218,ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,0887-6177,1873-5843,2.6,Q3,"PSYCHOLOGY, CLINICAL - SSCI (Q3)",0.004,2.8,,,,,,,,,,,,,
219,ARCHIVES OF NATURAL HISTORY,0260-9541,1755-6260,0.2,Q4,HISTORY & PHILOSOPHY OF SCIENCE - SSCI (Q4),4e-05,0.75,,,,,,,,,,,,,
220,ARCHIVES OF PSYCHIATRIC NURSING,0883-9417,1532-8228,2.3,Q2,NURSING - SSCI (Q2); PSYCHIATRY - SSCI (Q3),0.00253,2.67,Archives of Psychiatric Nursing,18.79,18.2,5.0,['Psychiatric Mental Health'],True,127,18,,179,201,9,
221,Archives of Public Health,0778-7367,2049-3258,3.3,Q2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q2)",0.00394,3.05,,,,,,,,,,,,,
222,ARCHIVES OF SEXUAL BEHAVIOR,0004-0002,1573-2800,3.8,Q1,"PSYCHOLOGY, CLINICAL - SSCI (Q2); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q1)",0.01179,2.35,,,,,,,,,,,,,
223,ARCHIVES OF SUICIDE RESEARCH,1381-1118,1543-6136,2.8,Q2,"PSYCHIATRY - SSCI (Q3); PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q2)",0.00365,2.88,,,,,,,,,,,,,
224,ARCTIC ANTHROPOLOGY,0066-6939,1933-8139,0.5,Q4,ANTHROPOLOGY - SSCI (Q4),0.00013,1.2,,,,,,,,,,,,,
225,AREA,0004-0894,1475-4762,2.2,Q3,GEOGRAPHY - SSCI (Q3),0.00342,2.4,,,,,,,,,,,,,
226,Argumenta Oeconomica,1233-5835,2720-5088,0.5,Q4,ECONOMICS - SSCI (Q4),0.00011,2.1,,,,,,,,,,,,,
227,Argumentation,0920-427X,1572-8374,1.2,Q2,COMMUNICATION - SSCI (Q4); LINGUISTICS - SSCI (Q2),0.00071,1.9,,,,,,,,,,,,,
228,ARMED FORCES & SOCIETY,0095-327X,1556-0848,1.4,Q3,POLITICAL SCIENCE - SSCI (Q3); SOCIOLOGY - SSCI (Q3),0.00124,2.0,,,,,,,,,,,,,
229,Artificial Intelligence and Law,0924-8463,1572-8382,4.1,Q1,LAW - SSCI (Q1),0.00089,1.3,,,,,,,,,,,,,
230,Arts & Health,1753-3015,1753-3023,1.4,Q4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q4)",0.00049,3.05,,,,,,,,,,,,,
231,ARTS IN PSYCHOTHERAPY,0197-4556,1873-5878,1.8,Q3,"PSYCHOLOGY, CLINICAL - SSCI (Q3); REHABILITATION - SSCI (Q3)",0.00097,2.38,Arts in Psychotherapy,24.7,5.0,2.4,"['Health Professions miscellaneous', 'Clinical Psychology', 'Psychiatry and Mental Health']",True,35,24,,140,159,4,
232,Asia & the Pacific Policy Studies,2050-2680,2050-2680,1.9,Q1,AREA STUDIES - SSCI (Q1),0.00092,1.0,,,,,,,,,,,,,
233,Asia Europe Journal,1610-2932,1612-1031,1.6,Q3,INTERNATIONAL RELATIONS - SSCI (Q3),0.00081,1.8,,,,,,,,,,,,,
234,Asia Pacific Business Review,1360-2381,1743-792X,2.9,Q3,BUSINESS - SSCI (Q3); MANAGEMENT - SSCI (Q3),0.0008,4.8,,,,,,,,,,,,,
235,Asia Pacific Education Review,1598-1037,1876-407X,2.3,Q3,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q3),0.00122,2.4,,,,,,,,,,,,,
236,Asia Pacific Journal of Anthropology,1444-2213,1740-9314,0.6,Q3,ANTHROPOLOGY - SSCI (Q3),0.00037,1.2,,,,,,,,,,,,,
237,Asia Pacific Journal of Education,0218-8791,1742-6855,1.7,Q3,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q3),0.00124,2.4,,,,,,,,,,,,,
238,Asia Pacific Journal of Human Resources,1038-4111,1744-7941,3.2,Q2,INDUSTRIAL RELATIONS & LABOR - SSCI (Q2); MANAGEMENT - SSCI (Q3),0.00108,3.7,,,,,,,,,,,,,
239,Asia Pacific Journal of Management,0217-4561,1572-9958,5.4,Q2,MANAGEMENT - SSCI (Q2),0.00299,4.8,,,,,,,,,,,,,
240,Asia Pacific Journal of Marketing and Logistics,1355-5855,1758-4248,3.7,Q3,BUSINESS - SSCI (Q3),0.00234,4.8,,,,,,,,,,,,,
241,ASIA PACIFIC JOURNAL OF SOCIAL WORK AND DEVELOPMENT,0218-5385,2165-0993,2.0,Q2,SOCIAL WORK - SSCI (Q2),0.00044,1.8,,,,,,,,,,,,,
242,Asia Pacific Journal of Tourism Research,1094-1665,1741-6507,5.0,Q2,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI (Q2)",0.00295,3.6,,,,,,,,,,,,,
243,Asia Pacific Law Review,1019-2557,1875-8444,0.5,Q4,LAW - SSCI (Q4),0.00017,1.3,,,,,,,,,,,,,
244,Asia Pacific Viewpoint,1360-7456,1467-8373,2.1,Q1,AREA STUDIES - SSCI (Q1); GEOGRAPHY - SSCI (Q3),0.00111,1.7,,,,,,,,,,,,,
245,Asian American Journal of Psychology,1948-1985,1948-1993,1.5,Q3,"ETHNIC STUDIES - SSCI (Q3); PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q3)",0.00137,2.15,,,,,,,,,,,,,
246,Asian and Pacific Migration Journal,0117-1968,2057-049X,0.9,Q4,DEMOGRAPHY - SSCI (Q4),0.00037,2.2,,,,,,,,,,,,,
247,Asian Business & Management,1472-4782,1476-9328,3.9,Q3,BUSINESS - SSCI (Q3); MANAGEMENT - SSCI (Q3),0.00077,4.8,,,,,,,,,,,,,
248,Asian Economic Journal,1351-3958,1467-8381,1.3,Q3,ECONOMICS - SSCI (Q3),0.00024,2.1,,,,,,,,,,,,,
249,Asian Economic Papers,1535-3516,1536-0083,9.7,Q1,ECONOMICS - SSCI (Q1),0.00103,2.1,,,,,,,,,,,,,
250,Asian Economic Policy Review,1832-8105,1748-3131,3.9,Q1,ECONOMICS - SSCI (Q1),0.00044,2.1,,,,,,,,,,,,,
251,Asian Journal of Communication,0129-2986,1742-0911,2.6,Q2,COMMUNICATION - SSCI (Q2),0.00123,2.6,,,,,,,,,,,,,
252,Asian Journal of Criminology,1871-0131,1871-014X,1.9,Q2,CRIMINOLOGY & PENOLOGY - SSCI (Q2),0.00051,1.8,,,,,,,,,,,,,
253,ASIAN JOURNAL OF SOCIAL PSYCHOLOGY,1367-2223,1467-839X,2.4,Q3,"PSYCHOLOGY, SOCIAL - SSCI (Q3)",0.00122,2.7,,,,,,,,,,,,,
254,Asian Journal of Social Science,1568-4849,1568-5314,0.6,Q4,"AREA STUDIES - SSCI (Q4); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q4)",0.00026,1.45,Asian Journal of Social Science,2.22,2.2,25.2,['Social Sciences all'],True,15,2,,,217,,
255,Asian Journal of Technology Innovation,1976-1597,2158-6721,2.5,Q2,BUSINESS - SSCI (Q4); ECONOMICS - SSCI (Q2),0.00036,3.45,,,,,,,,,,,,,
256,ASIAN JOURNAL OF WOMENS STUDIES,1225-9276,2377-004X,0.9,Q3,WOMENS STUDIES - SSCI (Q3),0.00048,1.6,,,,,,,,,,,,,
257,Asian Journal of WTO & International Health Law and Policy,1819-5164,,0.5,Q4,HEALTH POLICY & SERVICES - SSCI (Q4); INTERNATIONAL RELATIONS - SSCI (Q4); LAW - SSCI (Q4),0.00013,1.97,,,,,,,,,,,,,
258,Asian Nursing Research,1976-1317,2093-7482,2.2,Q2,NURSING - SSCI (Q2),0.00113,2.0,Asian Nursing Research,5.88,4.7,11.3,['Nursing all'],,32,5,,,,,
259,Asian Perspective,0258-9184,0258-9184,1.0,Q4,INTERNATIONAL RELATIONS - SSCI (Q4),0.00046,1.8,,,,,,,,,,,,,
260,Asian Population Studies,1744-1730,1744-1749,1.4,Q4,DEMOGRAPHY - SSCI (Q4),0.00043,2.2,,,,,,,,,,,,,
261,Asian Studies Review,1035-7823,1467-8403,1.2,Q2,AREA STUDIES - SSCI (Q2); CULTURAL STUDIES - SSCI (Q2),0.00111,1.0,,,,,,,,,,,,,
262,ASIAN SURVEY,0004-4687,1533-838X,0.9,Q3,AREA STUDIES - SSCI (Q3),0.00088,1.0,,,,,,,,,,,,,
263,Asian Women,1225-925X,2586-5714,0.5,Q4,WOMENS STUDIES - SSCI (Q4),0.00015,1.6,,,,,,,,,,,,,
264,Asian-Pacific Economic Literature,0818-9935,1467-8411,1.0,Q4,ECONOMICS - SSCI (Q4),0.00013,2.1,,,,,,,,,,,,,
265,Asia-Pacific Education Researcher,0119-5646,2243-7908,3.3,Q2,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q2),0.00178,2.4,,,,,,,,,,,,,
266,Asia-Pacific Journal of Accounting & Economics,1608-1625,2164-2257,1.1,Q4,"BUSINESS, FINANCE - SSCI (Q4); ECONOMICS - SSCI (Q4)",0.00049,2.45,,,,,,,,,,,,,
267,Asia-Pacific Journal of Financial Studies,2041-9945,2041-6156,1.5,Q4,"BUSINESS, FINANCE - SSCI (Q4)",0.00056,2.8,,,,,,,,,,,,,
268,Asia-Pacific Journal of Oncology Nursing,2347-5625,2349-6673,1.8,Q3,NURSING - SSCI (Q3),0.00146,2.0,Asia-Pacific Journal of Oncology Nursing,36.54,1.9,12.7,"['Oncology', 'Oncology nursing']",,13,36,,,,,
269,Asia-Pacific Journal of Public Health,1010-5395,1941-2479,2.5,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3)",0.00221,3.05,,,,,,,,,,,,,
270,Asia-Pacific Journal of Teacher Education,1359-866X,1469-2945,2.6,Q2,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q2),0.00112,2.4,,,,,,,,,,,,,
271,Asia-Pacific Psychiatry,1758-5864,1758-5872,3.5,Q2,PSYCHIATRY - SSCI (Q2),0.00112,3.35,,,,,,,,,,,,,
272,Aslib Journal of Information Management,2050-3806,1758-3748,2.6,Q3,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q3),0.00113,2.8,,,,,,,,,,,,,
273,Assessing Writing,1075-2935,1873-5916,3.9,Q1,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q1); LINGUISTICS - SSCI (Q1),0.00166,1.8,Assessing Writing,20.26,9.0,2.6,"['Language and Linguistics', 'Education', 'Linguistics and Language']",True,63,20,,,250,11,20
274,ASSESSMENT,1073-1911,1552-3489,3.8,Q2,"PSYCHOLOGY, CLINICAL - SSCI (Q2)",0.00883,2.8,,,,,,,,,,,,,
275,Assessment & Evaluation in Higher Education,0260-2938,1469-297X,4.4,Q1,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q1),0.00537,2.4,,,,,,,,,,,,,
276,Assessment in Education-Principles Policy & Practice,0969-594X,1465-329X,3.2,Q2,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q2),0.0014,2.4,,,,,,,,,,,,,
277,Assistenza Infermieristica e Ricerca,1592-5986,2038-1778,1.1,Q4,NURSING - SSCI (Q4),0.0001,2.0,,,,,,,,,,,,,
278,ASSISTIVE TECHNOLOGY,1040-0435,1949-3614,1.8,Q3,REHABILITATION - SSCI (Q3),0.00095,1.95,,,,,,,,,,,,,
279,Astin Bulletin-The Journal of the International Actuarial Association,0515-0361,1783-1350,1.9,Q2,"ECONOMICS - SSCI (Q3); SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI (Q2)",0.00145,1.95,,,,,,,,,,,,,
280,Atlantis-Journal of the Spanish Association of Anglo-American Studies,0210-6124,1989-6840,0.4,Q4,LINGUISTICS - SSCI (Q4),0.00039,1.2,,,,,,,,,,,,,
281,ATTACHMENT & HUMAN DEVELOPMENT,1461-6734,1469-2988,3.2,Q2,"PSYCHOLOGY, DEVELOPMENTAL - SSCI (Q2)",0.00197,2.6,,,,,,,,,,,,,
